clinicName,website,city,province,score,tier,email,contactPage,method,status,subject
"Dentistry by Dr. Sferlazza","https://www.winningsmiletor.com/?cc=book&utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB","Mississauga","ON","","","info@winningsmiletor.com","","manual","bounced",""
"Kennedy Dental Care Brampton","https://www.kennedydentalcarebrampton.com","Mississauga","ON","","","kennedydentalcarebrampton@outlook.com","","email","followup_2_sent",""
"iSmile Dental Centre","https://ismiledentalcentre.com","Brampton","ON","","","north@ismiledentalcentre.com","","email","followup_2_sent",""
"North Bramalea Dental","https://www.northbramaleadental.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","Brampton","ON","","","info@northbramaleadental.com","","manual","followup_2_sent",""
"Barrhaven Bright Smile","https://www.barrhavenbrightsmiledental.com","Ottawa","ON","","","info@barrhavenbrightsmiledental.com","","email","skip_low_quality",""
"Barrhaven Denture Clinic, Service for...","http://barrhavendenture.com","Ottawa","ON","","","barrhavendenture@gmail.com","","email","cooling_off",""
"Centre Dentaire Limbour","https://www.limbour.ca","Ottawa","ON","","","gestion@limbour.ca","","email","followup_3_sent",""
"Robinson","http://www.robinsondental.ca/","Ottawa","ON","","","","","manual","todo",""
"Barrhaven Dental Studio","https://www.barrhavendentalstudio.ca/?utm_source=google&utm_medium=gbp&utm_campaign=google_business","Ottawa","ON","","","info@barrhavendentalstudio.ca","","manual","already_equipped",""
"Vimy Bridge Dental","http://vimydental.ca/","Ottawa","ON","","","info@vimydental.ca","","manual","followup_2_sent",""
"Abeautifulsmile.ca – Dr. Salloum – Ot...","http://www.abeautifulsmile.ca","Ottawa","ON","","","drsalloum@abeautifulsmile.ca","","email","followup_2_sent",""
"Welcome to Liu Dental Centres","https://www.liudental.com","Ottawa","ON","","","drliusoffice@gmail.com","","email","followup_2_sent",""
"Lakefront Family Dental","https://lakefrontfamilydental.com","Hamilton","ON","","","","","manual","unsubscribed",""
"Dr. Kwong Lo","http://www.drkwonglo.com/locations.html","Hamilton","ON","","","info@drkwonglo.com","","manual","bounced",""
"Elm Hill Dentistry - Dr. Mark Iacovino","https://www.elmhilldentistry.ca/","Hamilton","ON","","","info@elmhilldentistry.ca","","manual","followup_2_sent",""
"Jacobs & Associates Dental Office","https://www.jacobsdental.ca/?utm_source=google&utm_medium=local&utm_campaign=gbp","Hamilton","ON","","","info@jacobsdental.ca","","manual","bounced",""
"Ottawa South Dental","http://www.ottawasouthdental.com/","Kitchener","ON","","","info@ottawasouthdental.com","","manual","bounced",""
"Progressive Dental Studio Inc","http://progressivedental.ca","Kitchener","ON","","","lab@progressivedental.ca","","email","skip_low_quality",""
"Applewood Dental Centre","http://www.applewooddentistry.com/","Kitchener","ON","","","info@applewooddentistry.com","","manual","followup_2_sent",""
"Welcome to The Village Dental Centre - Your Trusted Dentist in Waterloo","http://www.yoursmilecentre.com","Kitchener","ON","","","villagedental665@rogers.com","","email","low_confidence",""
"KW Perio","http://kwperio.ca","Kitchener","ON","","","kwperio@gmail.com","","email","followup_2_sent",""
"Emergency Dental Service","https://www.kitchenerdentistfairway.com/","Kitchener","ON","","","contact@kitchenerdentistfairway.com","","manual","already_equipped",""
"The Working","https://www.theworkingcentre.org","Kitchener","ON","","","stephaniem@theworkingcentre.org","","email","followup_2_sent",""
"Dr. Liana Cardieri Family & Cosmetic Dentistry","http://www.cardieridental.ca/","Kitchener","ON","","","reception@cardieridental.ca","","email","followup_2_sent",""
"Alba Dental Centre & Fastbraces","https://www.albadental.ca","London","ON","","","sharif@albadental.ca","","email","bounced",""
"Clinique de denturologie Josée Bouthillier","http://www.411sante.com/dentier/montreal/hochelaga-maisonneuve-1/denturologiste-hochelaga-maisonneuve.htm","Montreal","QC","","","info@411sante.com","","manual","bounced",""
"Accueil - La Dentisterie LA","http://www.cliniquedentairelacite.com/","Montreal","QC","","","cliniquedentairelacite@cdlc.ca","","manual","already_equipped",""
"Centre Dentaire Mawlawi","http://www.centredentairemawlawi.ca/","Montreal","QC","","","info@centredentairemawlawi.ca","","manual","followup_2_sent",""
"Centre Dentaire Dr Louise Magnan","http://www.mag-dent.com/","Montreal","QC","","","info@mag-dent.com","","manual","followup_2_sent",""
"Centredentairesd","https://www.centredentairesd.com","Montreal","QC","","","centredentairesd@hotmail.com","","email","cooling_off",""
"Sourires Exquis","https://souriresexquis.com","Montreal","QC","","","studiodentaire@souriresexquis.com","","email","followup_2_sent",""
"Clinique Dentaire des Écores","https://clinique2345.com","Montreal","QC","","","info@clinique2345.com","","email","skip_low_quality",""
"Clinique Implantologie Dentaire Implants Dentaire","https://www.cliniqueimplants.com","Montreal","QC","","","info@cliniqueimplants.com","","email","skip_low_quality",""
"Clinique Dentaire St","http://www.lessoinsdentaires.com/","Montreal","QC","","","info@lessoinsdentaires.com","","manual","followup_2_sent",""
"Dentist Brossard","https://brossarddentistes.com","Montreal","QC","","","dr.david.luong.brossard@gmail.com","","email","low_confidence",""
"Dentistes REMA","https://dentistesrema.com","Longueuil","QC","","","souellette@dentistesrema.com","","email","followup_2_sent",""
"MTL MF Dental","https://mtlmf.com","Longueuil","QC","","","marie-kristine@mtlmf.com","","email","followup_2_sent",""
"Clinique dentaire Karine Bouchard","https://www.mesdents.net","Quebec City","QC","","","info@mesdents.net","","email","skip_low_quality",""
"Clinique Dentaire Sylvie Clermont","https://clareo.ca/clinique/clareo-reseau-dentaire-levis/","Quebec City","QC","","","aylmer@clareo.ca","","manual","bounced",""
"Kits Point Dental Group","https://kitspointdental.com/","Vancouver","BC","","","info@kitspointdental.com","","manual","bounced",""
"Kitsilano Dental Group - Dr. Nazeem K...","https://www.kitsilanodentalgroup.com","Vancouver","BC","","","kitsilanodentalgroup@gmail.com","","email","cooling_off",""
"DR. GLORIA TANG INC","https://viadental.ca","Vancouver","BC","","","doctorgloriatang@gmail.com","","email","cooling_off",""
"Lolo Pediatric Dentistry","https://lolosmiles.ca/","Vancouver","BC","","","info@lolosmiles.ca","","manual","followup_2_sent",""
"Vancouver Dentist | Collingwood Dental","https://www.drjosephinechung.ca","Vancouver","BC","","","info@drjosephinechung.ca","","email","skip_low_quality",""
"Royal Centre Dental Group","https://royalcentredentalgroup.ca/","Vancouver","BC","","","info@royalcentredentalgroup.ca","","manual","bounced",""
"1955 Dental – Dr. Joyce Ling, Dr. Donald Shuen, & Dr. Tom Cheevers","http://1955dental.com/","Vancouver","BC","","","info@1955dental.com","","manual","bounced",""
"New Smile Dental & Implant","https://www.newsmiledental.ca/","Surrey","BC","","","info@newsmiledental.ca","","manual","followup_2_sent",""
"Marine Way & Northgate Dental","https://www.marinewaydental.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Burnaby","BC","","","info@marinewaydental.ca","","manual","followup_2_sent",""
"Dr. Ng and Associates Dental","http://www.drngandassociates.com/","Burnaby","BC","","","office@ngdentists.com","","manual","bounced",""
"Metrotown Endodontics","http://www.metrotownendo.com/","Burnaby","BC","","","info@metrotownendo.com","","manual","bounced",""
"Charm Dental","http://www.charmdentalcare.ca/","Burnaby","BC","","","info@charmdentalcare.ca","","manual","followup_2_sent",""
"Young Dental Burnaby - Young Dental Burnaby","https://www.youngdental.ca","Burnaby","BC","","","info@youngdental.ca","","email","skip_low_quality",""
"Brentwood","https://www.brentwooddentist.ca","Burnaby","BC","","","admin@brentwooddentist.ca","","email","skip_low_quality",""
"Avenue Family Dental","http://avenuefamilydental.com/","Victoria","BC","","","reception@avenuefamilydental.com","","email","already_equipped",""
"Rocky Ridge Dental","https://rockyridgedental.com/","Calgary","AB","","","info@rockyridgedental.com","","manual","bounced",""
"Castledowns","https://castledownsdental.ca","Edmonton","AB","","","castledownsdental@gmail.com","","email","already_equipped",""
"Welcome to Wildwood","https://greenwoodsdental.com/winnipeg/pembina-dental-office/","Winnipeg","MB","","","info@greenwoodsdental.com","","manual","followup_2_sent",""
"Lilac","https://www.lilacdental.ca","Winnipeg","MB","","","info@lilacdental.ca","","email","skip_low_quality",""
"Shaw Communications","http://members.shaw.ca","Winnipeg","MB","","","","","manual","todo",""
"Avalon Denture Care","https://avalondentalclinic.com/","Saskatoon","SK","","","info@avalondentalclinic.com","","manual","followup_2_sent",""
"Rockingham Ridge Dental Centre","https://www.robiestreetdental.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Halifax","NS","","","info@robiestreetdental.ca","","manual","followup_2_sent",""
"Mindfulness Psychotherapy","http://www.allsmiles.ca/","Toronto","ON","","","smile@allsmiles.ca","","manual","followup_2_sent",""
"Toronto Physiotherapy","https://www.torontophysiotherapy.ca","Toronto","ON","","","kpennell@torontophysiotherapy.ca","","email","sent",""
"Mobile Wellness","https://www.mobilewellness.ca","Toronto","ON","","","info@mobilewellness.ca","","manual","followup_2_sent",""
"Humber Bay Physio","https://humberdental.com/","Toronto","ON","","","mary@humberdental.com","","manual","sent",""
"Physiomobility","https://www.physiomobility.com","Toronto","ON","","","choyle@physiomobility.com","","email","sent",""
"Physio Santé: Physiothérapie Sportive à Montréal","http://physiosante.ca","Montreal","QC","","","cprs@physiosante.ca","","email","sent",""
"Paste Dental","https://paste.dental/","Toronto","ON","","","","","manual","todo",""
"Sarna Dentistry","https://hawthornevillagedental.ca/?utm_campaign=gmb&utm_source=gmb","Mississauga","ON","","","info@hawthornevillagedental.ca","","manual","followup_2_sent",""
"York University Dentist in North York","https://www.yorkusmiles.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Vaughan","ON","6","B","info@yorkusmiles.ca","https://www.yorkusmiles.ca/site/contact-north-york-toronto-dentist","contact_form","bounced","Quick question for York Lanes Dental Office"
"Sheppard West Dental in North York","https://www.sheppardwestdental.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Vaughan","ON","6","B","info@sheppardwestdental.com","http://www.doctorbernstein.ca/site/contact-north-york-dentist","contact_form","sent","Quick question for Dr. David Bernstein & Associates Family Dentist"
"DR. BHANDAL & ASSOCIATES","https://www.drbhandal.com/","Vaughan","ON","6","B","info@drbhandal.com","https://www.drbhandal.com/book-your-appointment/","contact_form","sent","Quick question for Cottrelle Dentistry"
"Royal Dental Hygiene Centre","https://royaldentalmaple.ca/?utm_source=gmb&utm_medium=banner&utm_campaign=new_patient&utm_id=royal","Vaughan","ON","6","B","info@royaldentalmaple.ca","","manual","sent","Quick question for Royal Dental Hygiene Centre"
"RV Dental Family Dentistry","https://www.rvdental.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Vaughan","ON","6","B","info@rvdental.ca","https://www.rvdental.ca/site/contact","contact_form","sent","Quick question for RVDental"
"Thornhill Woods Family","http://www.thornhillwoodsdentistry.com/","Vaughan","ON","6","B","info@thornhillwoodsdentistry.com","https://www.thornhillwoodsdentistry.com/contact-us/","contact_form","already_equipped","Quick question for Thornhill Woods Family Dentistry"
"Dr. Bao Vo & Associates","https://tmjsleepdental.com/","Vaughan","ON","6","B","info@tmjsleepdental.com","https://tmjsleepdental.com/contact-us-2/","contact_form","followup_2_sent","Quick question for TMJ & Sleep Dentistry"
"The Tooth Place","https://thetoothplace.ca/","Vaughan","ON","6","B","info@thetoothplace.ca","https://thetoothplace.ca/contact-us/","contact_form","sent","Quick question for The Tooth Place - Dentist in Bolton"
"Treehouse Dental Care, Greater Toronto Area","https://www.treehousedentalcare.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Vaughan","ON","6","B","info@treehousedentalcare.ca","https://www.treehousedentalcare.ca/site/contact-dentist","contact_form","sent","Quick question for Treehouse Dental Care"
"Seoul Dental","http://www.seouldental.ca/","Vaughan","ON","6","B","info@seouldental.ca","","manual","bounced","Quick question for Seoul Dental"
"Christie Park Dental","https://parkdentalcentres.com","Toronto","ON","6","B","christieparkdental@gmail.com","https://parkdentalcentres.com/contact/","email","skip_duplicate","Quick question for Christie Park Dental"
"St. Lawrence Dentistry","http://www.stlawrencedentistry.com/","Mississauga","ON","4","","info@stlawrencedentistry.com","","email","sent",""
"Sunway Dental","https://sunwaydental.ca","Mississauga","ON","4","","info@sunwaydental.ca","","email","bounced",""
"Dr. F. Keshavarz Dentistry","https://www.keshavarzdentistry.com","Mississauga","ON","4","","info@keshavarzdentistry.com","","email","cooling_off",""
"Onyx Dental","https://onyxdental.ca","Mississauga","ON","4","","info@onyxdental.ca","","email","cooling_off",""
"Arbutus Dentistry","https://www.arbutusdentistry.ca","Mississauga","ON","4","","arbutusdentistry@gmail.com","","email","cooling_off",""
"Stars Orthodontics","https://www.starsortho.ca","Ottawa","ON","4","","info@starsortho.ca","","email","cooling_off",""
"Groupe Dentis","https://www.411sante.com/dentiste/outaouais/gatineau-2/dentiste-gatineau.htm","Ottawa","ON","4","","info@groupedentis.com","","email","sent",""
"Dentistree","https://www.dentistree.ca","Ottawa","ON","4","","info@dentistree.ca","","email","cooling_off",""
"The Smile Doctors","https://www.thesmiledoctors.ca","Ottawa","ON","4","","info@thesmiledoctors.ca","","email","cooling_off",""
"Chapman Mills Dental","https://chapmanmillsdental.com","Ottawa","ON","4","","info@chapmanmillsdental.com","","email","cooling_off",""
"Barrhaven Dental Care","http://www.barrhavendentalcare.com","Ottawa","ON","4","","smiledr@barrhavendentalcare.com","","email","cooling_off",""
"Orthodontist Periodontist","https://www.orthoperio.ca","Ottawa","ON","4","","info@orthoperio.ca","","email","cooling_off",""
"Southpointe Dental","https://www.barrhavensmiles.com","Ottawa","ON","4","","southpointedental2@gmail.com","","email","cooling_off",""
"Fallowfield Dental","https://fallowfielddental.com","Ottawa","ON","4","","info@fallowfielddental.com","","email","personal_followup_sent",""
"Coliseum Dental Centre","http://www.coliseumdental.ca","Ottawa","ON","4","","reception@coliseumdental.ca","","email","already_equipped",""
"Citigate Dental","https://citigatedental.ca","Ottawa","ON","4","","info@citigatedental.ca","","email","cooling_off",""
"Crossing Bridge Family Dentistry","https://crossingbridgefamilydentistry.com","Ottawa","ON","4","","info@crossingbridgefamilydentistry.com","","email","cooling_off",""
"Riverside Family Dentistry","http://www.riversidefamilydentistry.com","Ottawa","ON","4","","info@riversidefamilydentistry.com","","email","cooling_off",""
"Kanata Lakes Dental Centre","https://kanatalakesdental.ca","Ottawa","ON","4","","info@kanatalakesdental.ca","","email","already_equipped",""
"Dentistry on Centrepointe","https://dentistryoncentrepointe.com","Ottawa","ON","4","","info@dentistryoncentrepointe.com","","email","already_equipped",""
"Clinique Dentaire de Gatineau","https://www.cdentairegatineau.com","Ottawa","ON","4","","nfo@cdentairegatineau.com","","email","bounced",""
"Lakeshore Family Dentistry","https://www.lakeshorefamilydentistry.ca","Hamilton","ON","4","","lfd@bellnet.ca","","email","cooling_off",""
"Alton Dental","https://dentistburlington.net","Hamilton","ON","4","","info@altondental.corn","","email","no_mx",""
"Magnolia Dental","https://magnoliadental.ca","Hamilton","ON","4","","magnoliadental2121@gmail.com","","email","cooling_off",""
"Spinel Dental","https://www.spinel.dental/","Hamilton","ON","4","","smile@spinel.dental","","email","sent",""
"OMG PERIO","https://www.omgperio.ca","Hamilton","ON","4","","reception@omgperio.ca","","email","already_equipped",""
"Winona Dental","https://winonadental.com","Hamilton","ON","4","","info@winonadental.com","","email","unsubscribed",""
"LimeGreen Dental","https://limegreendental.com","Hamilton","ON","4","","info@limegreendental.com","","email","cooling_off",""
"Family & Cosmetic Dentistry","https://www.kwdental.com","Kitchener","ON","3","","reception@kwdental.com","","email","already_equipped",""
"Crescent Oak Dental","https://crescentoakdental.com","Kitchener","ON","4","","info@drsmailydental.com","","email","already_equipped",""
"Waterloo West Dentistry","http://waterloowestdental.com/","Kitchener","ON","4","","waterloowestdental@gmail.com","","email","cooling_off",""
"Strasburg Smiles","https://www.strasburgsmiles.ca/","Kitchener","ON","4","","info@strasburgsmiles.ca","","email","sent",""
"Laurelwood Family Dentistry","https://www.laurelwooddentistry.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp","Kitchener","ON","4","","dental.needhelp@gmail.com","","email","cooling_off",""
"Maple Ridge Family Dental","https://mapleridgefamilydental.com","London","ON","4","","info@mapleridgefamilydental.com","","email","cooling_off",""
"Wharncliffe Family Dental","https://wharncliffedental.ca","London","ON","4","","info@wharncliffedental.ca","","email","already_equipped",""
"Horizon Dental Care","https://horizondentalcare.ca","London","ON","4","","info@horizondentalcare.ca","","email","no_mx",""
"Cherryhill Family Dentistry","https://www.drsaari.com","London","ON","4","","cherryhilldentistry@execulink.com","","email","cooling_off",""
"Arenson Dental & Associates","https://arensondental.com","Markham","ON","4","","info@arensondental.com","","email","cooling_off",""
"Upper Village Dental","https://uppervillagedental.com","Markham","ON","4","","info@uppervillagedental.com","","email","cooling_off",""
"Clinique Dentaire Geneviève Rompré","https://genevieverompre.com","Montreal","QC","4","","info@genevieverompre.com","","email","cooling_off",""
"Centre Dentaire de Brossard","https://www.centredentairebrossard.ca","Montreal","QC","4","","c.dentaire.brossard@videotron.ca","","email","already_equipped",""
"Centre dentaire Mercier","http://www.centredentairemercier.com","Montreal","QC","4","","info@centredentairemercier.com","","email","cooling_off",""
"D Dental Office","https://ddentaloffice.com","Montreal","QC","4","","smile@ddentaloffice.com","","email","cooling_off",""
"Centre Dentaire Masson","https://www.centredentairemasson.ca","Montreal","QC","4","","info@centredentairemasson.ca","","email","bounced",""
"Nuo Dental","https://nuodental.com","Montreal","QC","4","","contact@nuodental.com","","email","cooling_off",""
"Clinique Dentaire WM Dorval","https://dentaldorval.com","Montreal","QC","3","","cliniquedentairewmdorval@gmail.com","","email","cooling_off",""
"Centre de laser dentaire Carole Gignac","https://www.laserdentairegignac.com","Quebec City","QC","3","","secrétariat@laserdentaireGignac.com","","email","bounced",""
"Arbutus North Dental","https://smilevancouver.ca","Vancouver","BC","4","","info@smilevancouver.ca","","email","cooling_off",""
"Dentist on Kingsway","https://dentistonkingsway.com","Vancouver","BC","4","","info@dentistonkingsway.com","","email","already_equipped",""
"Happy Family Dental Centre","https://happydental.ca","Vancouver","BC","4","","happydental2012@yahoo.ca","","email","already_equipped",""
"Alta Dental Studio","https://www.altadental.ca","Vancouver","BC","4","","info@altadental.ca","","email","already_equipped",""
"SmileStone Dental","https://www.smilestonedental.ca","Vancouver","BC","4","","info@smilestonedental.ca","","email","cooling_off",""
"City Square Dental Center","https://www.vancouverdentist.ca","Vancouver","BC","4","","smiles@vancouverdentist.ca","","email","cooling_off",""
"Cambie Broadway Dental","https://www.dentistvancouver.com","Vancouver","BC","4","","info@cambiebroadwaydental.ca","","email","cooling_off",""
"Esplanade Dental Centre","https://dentistatthequay.com","Vancouver","BC","4","","info@dentistatthequay.com","","email","cooling_off",""
"False Creek Dental Centre","https://falsecreekdental.com","Vancouver","BC","4","","team@falsecreekdental.com","","email","cooling_off",""
"Morgan Crossing Dental","https://morgancrossingdental.com","Surrey","BC","4","","mcd@morgancrossingdental.com","","email","cooling_off",""
"Halo Dental","https://halodental.ca","Surrey","BC","4","","smile@halodental.ca","","email","cooling_off",""
"ARTA Dental","https://www.artadental.com","Burnaby","BC","4","","info@artadental.com","","email","no_mx",""
"Crystal Dental Centre","https://crystaldental.com","Burnaby","BC","4","","info@crystaldental.com","","email","cooling_off",""
"Sun Dentistry","https://www.sundentistry.ca","Burnaby","BC","4","","smile@sundentistry.ca","","email","cooling_off",""
"Metro-Point Dental Clinic","https://metropointedental.com","Burnaby","BC","4","","info@metropointedental.com","","email","cooling_off",""
